,age,gender,income,kids,ownHome,subscribe,Segment,sexo
84,34.2816075744,Male,49346.7007962596,2,ownYes,subYes,Suburb mix,0
85,36.4528047321,Male,66274.9978292267,1,ownNo,subNo,Suburb mix,0
86,35.8720450214,Male,39442.7177107063,1,ownNo,subNo,Suburb mix,0
87,45.3474160338,Female,47002.8360596545,1,ownYes,subNo,Suburb mix,1
88,44.2169474031,Female,42339.1332268302,5,ownNo,subNo,Suburb mix,1
89,41.895704636,Female,58871.4752626021,3,ownNo,subYes,Suburb mix,1
90,39.6346506602,Male,76184.6652543762,2,ownYes,subNo,Suburb mix,0
91,45.1905319653,Male,68937.1991235778,5,ownYes,subNo,Suburb mix,0
92,48.3471810623,Female,63683.9618691843,2,ownYes,subNo,Suburb mix,1
93,40.1320584022,Male,57134.9391540512,0,ownNo,subNo,Suburb mix,0
94,40.9555385028,Male,60770.5726089868,3,ownNo,subNo,Suburb mix,0
95,45.4801316537,Male,53416.8574877337,3,ownYes,subYes,Suburb mix,0
96,40.7438284583,Male,44890.704042027,5,ownYes,subNo,Suburb mix,0
97,36.6092282084,Female,58891.1509069091,2,ownYes,subNo,Suburb mix,1
98,36.4600217372,Female,57985.5501108693,1,ownNo,subNo,Suburb mix,1
99,45.9235225645,Male,56015.7432700149,3,ownYes,subNo,Suburb mix,0
100,42.5279912771,Male,29257.5668187161,1,ownNo,subNo,Suburb mix,0
101,24.7379634394,Male,18457.8478804086,1,ownNo,subYes,Urban hip,0
102,26.102223214,Male,26487.8251690791,1,ownNo,subYes,Urban hip,0
103,23.2567095035,Male,11985.2491740731,1,ownNo,subNo,Urban hip,0
104,21.3626714204,Male,16646.478704297,3,ownNo,subNo,Urban hip,0
105,23.4958269385,Male,17784.5689109545,1,ownNo,subNo,Urban hip,0
106,23.4439480028,Male,23886.4666138707,1,ownNo,subNo,Urban hip,0
107,23.1901294012,Male,17510.2759578819,1,ownNo,subYes,Urban hip,0
108,21.2403538293,Male,18419.2504701454,1,ownYes,subYes,Urban hip,0
109,22.1120229238,Male,21107.3687370218,0,ownNo,subNo,Urban hip,0
110,23.0143711857,Male,25506.1915758617,2,ownNo,subNo,Urban hip,0
111,23.3831309463,Female,21698.819574712,3,ownNo,subNo,Urban hip,1
112,24.3015074885,Male,23843.5090047963,0,ownNo,subNo,Urban hip,0
113,24.242723124,Male,15493.4029592113,1,ownNo,subNo,Urban hip,0
114,20.7125917289,Male,22517.205882629,3,ownNo,subNo,Urban hip,0
115,26.9251362396,Male,25210.86816994,0,ownNo,subNo,Urban hip,0
116,23.3306279145,Male,17382.0136831105,4,ownNo,subNo,Urban hip,0
117,23.8271144791,Female,22760.1756217969,0,ownNo,subNo,Urban hip,1
118,23.8592639362,Female,18118.8647515897,1,ownYes,subNo,Urban hip,1
119,24.6862494156,Male,32191.1487823517,1,ownNo,subNo,Urban hip,0
120,25.5844203901,Male,23812.1453486287,2,ownYes,subNo,Urban hip,0
121,24.6992255514,Female,12544.6837140052,1,ownNo,subYes,Urban hip,1
122,23.2741354634,Female,22402.7339538771,0,ownYes,subNo,Urban hip,1
123,26.7202761298,Male,23996.5067354796,1,ownNo,subNo,Urban hip,0
124,22.3033298494,Female,24541.2443898812,1,ownNo,subNo,Urban hip,1
125,24.9767827399,Male,22905.3596493458,2,ownYes,subNo,Urban hip,0
126,23.7229508321,Male,22014.3735599167,0,ownNo,subNo,Urban hip,0
127,23.765101036,Male,20297.1185794427,0,ownNo,subNo,Urban hip,0
128,21.807368213,Male,27807.2395002086,2,ownNo,subYes,Urban hip,0
129,22.7596515045,Female,15910.5360411069,0,ownNo,subYes,Urban hip,1
130,22.2245913603,Female,20222.0214392999,2,ownYes,subYes,Urban hip,1
131,23.9775615355,Male,18106.8369383907,0,ownNo,subNo,Urban hip,0
132,25.2019542159,Female,22102.8352178234,2,ownNo,subNo,Urban hip,1
133,25.939028517,Female,17366.8618025148,0,ownNo,subNo,Urban hip,1
134,21.0028932991,Female,27244.1731045436,1,ownNo,subNo,Urban hip,1
135,27.6270634337,Male,22179.1780862388,1,ownNo,subNo,Urban hip,0
136,23.0886097332,Male,33909.4969852548,3,ownNo,subNo,Urban hip,0
137,24.889707005,Male,23326.4486386503,2,ownNo,subYes,Urban hip,0
138,21.4934799463,Female,17082.7435630979,2,ownNo,subNo,Urban hip,1
139,28.3290965084,Female,31284.8544972897,2,ownYes,subNo,Urban hip,1
140,25.151291035,Male,17757.6681990845,1,ownNo,subNo,Urban hip,0
141,25.1770317946,Female,20125.7985630986,2,ownNo,subYes,Urban hip,1
142,24.8169471326,Female,23839.4836233174,0,ownNo,subNo,Urban hip,1
143,22.3407504711,Male,16341.0906071427,0,ownNo,subNo,Urban hip,0
144,22.4343300303,Male,24533.9309765169,2,ownYes,subNo,Urban hip,0
145,24.7949730583,Female,25841.2453101756,0,ownYes,subNo,Urban hip,1
146,19.2599318449,Female,18592.9616380783,0,ownNo,subNo,Urban hip,1
147,25.9461676448,Female,12406.0997338184,0,ownNo,subNo,Urban hip,1
148,25.6568606639,Male,28329.0209764062,1,ownNo,subNo,Urban hip,0
149,23.4990897281,Female,27211.8266509716,0,ownNo,subNo,Urban hip,1
150,24.5405191345,Female,23052.3353626883,0,ownYes,subNo,Urban hip,1
151,56.3229550958,Female,91509.2454497245,0,ownYes,subNo,Travelers,1
152,64.4588955366,Male,61052.0773745683,0,ownYes,subNo,Travelers,0
153,45.925217174,Male,-5183.3542425522,0,ownYes,subNo,Travelers,0
154,57.0027722597,Female,68364.6297612931,0,ownNo,subNo,Travelers,1
155,68.0582759176,Female,25772.2414123234,0,ownYes,subNo,Travelers,1
156,66.8969134992,Male,54060.5906223448,0,ownYes,subNo,Travelers,0
157,66.1897447091,Female,66616.4021528072,0,ownYes,subNo,Travelers,1
158,43.3523031697,Male,51787.8842410346,0,ownNo,subNo,Travelers,0
159,75.9135805508,Female,23968.1071881143,0,ownYes,subNo,Travelers,1
160,60.6942344201,Male,-693.9989152252,0,ownYes,subNo,Travelers,0
161,52.414955311,Female,50531.7187004201,0,ownYes,subNo,Travelers,1
162,53.6755726529,Female,85769.6372526928,0,ownYes,subNo,Travelers,1
163,55.8411605519,Male,75456.8034231858,0,ownYes,subNo,Travelers,0
164,53.3217281537,Male,72314.9975794691,0,ownYes,subNo,Travelers,0
165,51.4832404604,Male,36907.6333074456,0,ownYes,subNo,Travelers,0
166,65.9521636241,Female,46832.3648900042,0,ownYes,subNo,Travelers,1
167,62.0824214633,Male,94845.253077876,0,ownYes,subNo,Travelers,0
168,45.5107573124,Female,50337.3613140346,0,ownYes,subNo,Travelers,1
169,57.3667201719,Female,58287.2034544183,0,ownYes,subNo,Travelers,1
170,50.4130772304,Male,60738.5930349509,0,ownYes,subNo,Travelers,0
171,64.8514381233,Female,78231.3344771732,0,ownYes,subNo,Travelers,1
172,49.4337895229,Male,61153.431613519,0,ownNo,subYes,Travelers,0
173,64.7064051694,Male,45517.1450769463,0,ownNo,subYes,Travelers,0
174,70.6040465823,Male,48697.1456496712,0,ownNo,subNo,Travelers,0
175,41.5173686624,Male,39379.3518335787,0,ownYes,subNo,Travelers,0
176,57.1753360875,Male,47529.0856732098,0,ownYes,subNo,Travelers,0
177,51.1843225267,Male,61453.2039807924,0,ownYes,subNo,Travelers,0
178,62.346153523,Female,48371.3625593374,0,ownYes,subNo,Travelers,1
179,62.4707927392,Male,68895.3069998346,0,ownYes,subNo,Travelers,0
180,57.3956684384,Female,37797.9067792906,0,ownYes,subNo,Travelers,1
181,55.1522907502,Female,96508.8939156899,0,ownYes,subNo,Travelers,1
182,55.7686147081,Female,55318.2210741976,0,ownYes,subNo,Travelers,1
183,57.790059232,Female,105537.821591503,0,ownYes,subNo,Travelers,1
184,68.0514831943,Male,104312.44501305,0,ownYes,subNo,Travelers,0
185,50.507488025,Female,48946.0733525383,0,ownYes,subYes,Travelers,1
186,48.8499113069,Female,59075.1193340183,0,ownNo,subNo,Travelers,1
187,58.6079437239,Female,60168.2825099167,0,ownYes,subNo,Travelers,1
188,56.4212069921,Female,64723.6017493344,0,ownYes,subNo,Travelers,1
189,58.3185484815,Male,86776.8179147849,0,ownYes,subNo,Travelers,0
190,39.0887937673,Female,77424.6476215087,0,ownYes,subNo,Travelers,1
191,68.0599024354,Female,51535.1139978854,0,ownNo,subNo,Travelers,1
192,61.1365059261,Male,72646.7373217843,0,ownYes,subNo,Travelers,0
193,63.8997217478,Male,50749.3893364359,0,ownNo,subNo,Travelers,0
194,50.8371572872,Male,42467.3689239172,0,ownYes,subYes,Travelers,0
195,44.0378108641,Male,51354.4811129986,0,ownYes,subNo,Travelers,0
196,46.1429410179,Male,77294.7603197207,0,ownYes,subNo,Travelers,0
197,50.3220116731,Female,62286.3155842483,0,ownYes,subNo,Travelers,1
198,53.3665135467,Male,60976.5295167416,0,ownYes,subNo,Travelers,0
199,57.505542583,Male,79570.0474144247,0,ownYes,subYes,Travelers,0
200,61.3271515652,Female,15346.6800573171,0,ownYes,subNo,Travelers,1
201,62.763024057,Female,46587.2163266518,0,ownYes,subNo,Travelers,1
202,64.6333759736,Male,113456.797313926,0,ownNo,subNo,Travelers,0
203,44.9146619696,Male,63595.4751960642,0,ownYes,subNo,Travelers,0
204,59.0744884249,Female,78870.6608287911,0,ownYes,subYes,Travelers,1
205,51.3372931461,Female,78019.7152233025,0,ownNo,subNo,Travelers,1
206,68.0491584447,Female,69075.44941649,0,ownNo,subNo,Travelers,1
207,66.4085591288,Female,101173.557188013,0,ownYes,subNo,Travelers,1
208,60.9689318964,Male,60930.7442493327,0,ownYes,subNo,Travelers,0
209,60.5648706931,Male,62932.798574083,0,ownNo,subNo,Travelers,0
210,47.7769489251,Female,92431.4551190837,0,ownYes,subNo,Travelers,1
211,54.2937554629,Male,45947.0295481575,0,ownYes,subNo,Travelers,0
212,51.7069732567,Female,68450.7529115724,0,ownNo,subNo,Travelers,1
213,62.3942300518,Female,82348.6867286271,0,ownYes,subNo,Travelers,1
214,52.3916509048,Male,49195.3690115638,0,ownYes,subNo,Travelers,0
215,71.8932636805,Female,60279.3325250966,0,ownYes,subYes,Travelers,1
216,59.6074029451,Male,36982.5615971805,0,ownYes,subNo,Travelers,0
217,51.3571086872,Female,71487.6242779881,0,ownNo,subNo,Travelers,1
218,60.6553830241,Female,74776.771987831,0,ownNo,subNo,Travelers,1
219,56.518568382,Male,37604.6674750923,0,ownNo,subYes,Travelers,0
220,61.5907060037,Female,29870.5387041544,0,ownYes,subNo,Travelers,1
221,78.1972510276,Female,24604.4294484988,0,ownYes,subNo,Travelers,1
222,47.1629449272,Male,64843.085262072,0,ownNo,subNo,Travelers,0
223,80.4861787894,Male,82076.8295368982,0,ownYes,subYes,Travelers,0
224,57.2698609387,Male,48402.1917850499,0,ownYes,subYes,Travelers,0
225,58.859480056,Male,114278.255566571,0,ownYes,subNo,Travelers,0
226,61.1127075258,Male,96902.3924187072,0,ownYes,subNo,Travelers,0
227,55.8664776035,Female,58359.6943583591,0,ownNo,subNo,Travelers,1
228,54.8758880426,Female,106430.048316245,0,ownYes,subNo,Travelers,1
229,61.1227500958,Female,72474.458355025,0,ownNo,subNo,Travelers,1
230,66.0627813553,Male,55406.740360499,0,ownNo,subNo,Travelers,0
231,32.1958513141,Female,50595.7769717461,2,ownYes,subNo,Moving up,1
232,37.8573256888,Male,50980.484154139,5,ownYes,subNo,Moving up,0
233,46.4856998727,Female,40590.0810148982,3,ownNo,subNo,Moving up,1
234,31.1277149438,Male,52298.072708399,2,ownNo,subNo,Moving up,0
235,33.8870065201,Male,57663.8607966565,3,ownNo,subNo,Moving up,0
236,36.3508695066,Male,56977.085846303,2,ownYes,subNo,Moving up,0
237,33.0319896824,Female,36411.9826139095,0,ownNo,subNo,Moving up,1
238,37.6209576668,Male,46974.9879593612,3,ownYes,subNo,Moving up,0
239,30.3439614981,Male,65233.2556852536,2,ownNo,subNo,Moving up,0
240,42.9066474332,Female,58739.3096685521,3,ownYes,subNo,Moving up,1
241,32.583484279,Female,49509.4299256921,1,ownYes,subNo,Moving up,1
242,34.2455385998,Female,57037.8631865053,1,ownNo,subYes,Moving up,1
243,36.9733923069,Female,53792.4010700851,0,ownNo,subNo,Moving up,1
244,39.229991493,Female,69947.6029486762,2,ownNo,subNo,Moving up,1
245,39.4224323394,Female,57265.3025841811,0,ownNo,subNo,Moving up,1
246,38.5370842843,Female,49895.1765115768,3,ownNo,subNo,Moving up,1
247,35.7331681312,Female,52953.4123866937,2,ownYes,subNo,Moving up,1
248,30.7250151174,Female,70541.4989272996,4,ownNo,subNo,Moving up,1
249,43.0019196933,Female,66923.6198185964,0,ownNo,subNo,Moving up,1
250,33.7256339791,Male,39678.9515958295,2,ownNo,subNo,Moving up,0
251,40.7074877235,Female,54864.7826513752,2,ownNo,subNo,Moving up,1
252,34.6006304408,Female,60045.4723554456,0,ownYes,subNo,Moving up,1
253,37.7884731314,Male,68037.8090973437,4,ownNo,subNo,Moving up,0
254,34.1568166785,Female,73797.5015491713,0,ownNo,subNo,Moving up,1
255,32.5780787285,Female,53604.1711598316,3,ownNo,subNo,Moving up,1
256,39.3315814781,Male,52110.4581133447,1,ownNo,subYes,Moving up,0
257,43.3092921199,Female,69549.9337075537,3,ownNo,subYes,Moving up,1
258,30.8863103381,Female,50473.3576363046,3,ownYes,subYes,Moving up,1
259,33.9996083566,Female,61154.5388123559,1,ownNo,subNo,Moving up,1
260,31.713062267,Female,65688.5287018076,3,ownNo,subNo,Moving up,1
261,38.5291515456,Female,49267.0872846861,2,ownYes,subYes,Moving up,1
262,28.589936353,Female,29771.9068621233,3,ownNo,subNo,Moving up,1
263,36.0037515384,Male,51829.6230346274,1,ownNo,subNo,Moving up,0
264,34.1842534543,Male,45637.0948677645,1,ownYes,subNo,Moving up,0
265,39.052966537,Male,53668.8594730121,7,ownYes,subNo,Moving up,0
266,31.7441128326,Female,43413.7198741632,4,ownNo,subNo,Moving up,1
267,35.8956685968,Male,62087.1248390843,0,ownNo,subNo,Moving up,0
268,34.4202090665,Female,49235.0166512053,2,ownNo,subNo,Moving up,1
269,43.1797120533,Male,39779.9939948701,0,ownYes,subNo,Moving up,0
270,38.2814799649,Female,41097.1037780155,2,ownNo,subNo,Moving up,1
271,32.336911025,Female,52776.4212302428,1,ownYes,subYes,Moving up,1
272,42.0379807135,Female,58756.3158402487,2,ownNo,subNo,Moving up,1
273,38.8747696848,Female,44811.7813766437,5,ownYes,subNo,Moving up,1
274,40.1698998023,Female,44125.3993527206,4,ownYes,subNo,Moving up,1
275,37.4180832521,Female,36257.9280538758,1,ownNo,subNo,Moving up,1
276,39.1431980114,Female,45347.005384382,1,ownYes,subYes,Moving up,1
277,29.7630070483,Female,50720.2154168085,0,ownNo,subNo,Moving up,1
278,36.2385982137,Female,46540.8764153696,1,ownNo,subYes,Moving up,1
279,37.2477345946,Female,50560.1687025062,3,ownYes,subNo,Moving up,1
280,37.3585601691,Female,59663.2801912761,1,ownNo,subNo,Moving up,1
281,31.6908115497,Female,55940.7776290452,3,ownNo,subNo,Moving up,1
282,34.0345367228,Female,66007.989411417,3,ownNo,subNo,Moving up,1
283,36.8975236063,Female,39366.9526872137,1,ownNo,subYes,Moving up,1
284,38.169154031,Female,54509.2541701968,2,ownNo,subNo,Moving up,1
285,42.3734169968,Female,49308.974846061,2,ownNo,subNo,Moving up,1
286,40.3066846791,Female,54740.2792983515,0,ownYes,subNo,Moving up,1
287,36.2411837297,Male,49775.2882826454,1,ownNo,subYes,Moving up,0
288,35.8258645735,Female,41766.2922383033,2,ownNo,subYes,Moving up,1
289,26.4043603931,Female,73240.6227870091,2,ownNo,subNo,Moving up,1
290,42.4076348557,Male,53520.3553277109,1,ownNo,subNo,Moving up,0
291,35.880625416,Male,66423.7386259767,1,ownNo,subNo,Moving up,0
292,36.2298897575,Female,41192.2798590723,4,ownNo,subNo,Moving up,1
293,39.5433025916,Female,58933.3443268635,2,ownYes,subYes,Moving up,1
294,35.7996099514,Female,52352.6864610644,1,ownNo,subYes,Moving up,1
295,36.1496415601,Male,40522.3919785999,0,ownYes,subNo,Moving up,0
296,32.9522688588,Female,43882.4256144609,0,ownYes,subNo,Moving up,1
297,40.962546689,Female,64197.0868751401,2,ownNo,subNo,Moving up,1
298,38.2298039857,Male,47580.9267770138,0,ownNo,subYes,Moving up,0
299,33.1703637003,Male,60747.3363951277,1,ownNo,subNo,Moving up,0
300,34.3838778472,Male,53674.931370168,5,ownYes,subNo,Moving up,0
